Afghanistan,أفغانستان
Åland Islands,جزر آلاند
Albania,ألبانيا
Algeria,الجزائر
American Samoa,ساموا الأمريكية
Andorra,أندورا
Angola,أنغولا
Anguilla,أنغيلا
Antarctica,القارة القطبية الجنوبية
Antigua and Barbuda,أنتيغوا وبربودا
Argentina,الأرجنتين
Armenia,أرمينيا
Aruba,أروبا
Australia,أستراليا
Austria,النمسا
Azerbaijan,أذربيجان
Bahamas,جزر البهاما
Bahrain,البحرين
Bangladesh,بنغلاديش
Barbados,بربادوس
Belarus,بيلاروسيا
Belgium,بلجيكا
Belize,بليز
Benin,بنين
Bermuda,برمودا
Bhutan,بوتان
"Bolivia, Plurinational State of",بوليفيا، دولة متعددة القوميات
"Bonaire, Sint Eustatius and Saba",بونير، سينت أوستاتيوس وسابا
Bosnia and Herzegovina,البوسنة والهرسك
Botswana,بوتسوانا
Bouvet Island,جزيرة بوفيه
Brazil,البرازيل
British Indian Ocean Territory,إقليم المحيط الهندي البريطاني
Brunei Darussalam,بروناي دار السلام
Bulgaria,بلغاريا
Burkina Faso,بوركينا فاسو
Burundi,بوروندي
Cambodia,كمبوديا
Cameroon,الكاميرون
Canada,كندا
Cape Verde,الرأس الأخضر
Cayman Islands,جزر كايمان
Central African Republic,جمهورية أفريقيا الوسطى
Chad,تشاد
Chile,شيلي
China,الصين
Christmas Island,جزيرة عيد الميلاد
Cocos (Keeling) Islands,كوكوس (كيلينغ) الجزر
Colombia,كولومبيا
Comoros,جزر القمر
Congo,الكونغو
"Congo, The Democratic Republic of the",الكونغو، جمهورية الكونغو الديمقراطية
Cook Islands,جزر كوك
Costa Rica,كوستاريكا
Croatia,كرواتيا
Cuba,كوبا
Curaçao,كوراساو
Cyprus,قبرص
Czech Republic,جمهورية التشيك
Denmark,الدنمارك
Djibouti,جيبوتي
Dominica,دومينيكا
Dominican Republic,جمهورية الدومينيكان
Ecuador,الإكوادور
Egypt,مصر
El Salvador,السلفادور
Equatorial Guinea,غينيا الاستوائية
Eritrea,إريتريا
Estonia,إستونيا
Ethiopia,إثيوبيا
Falkland Islands (Malvinas),جزر فوكلاند (مالفيناس)
Faroe Islands,جزر فارو
Fiji,فيجي
Finland,فنلندا
France,فرنسا
French Guiana,غويانا الفرنسية
French Polynesia,بولينيزيا الفرنسية
French Southern Territories,الأقاليم الجنوبية الفرنسية
Gabon,الجابون
Gambia,غامبيا
Georgia,جورجيا
Germany,ألمانيا
Ghana,غانا
Gibraltar,جبل طارق
Greece,اليونان
Greenland,جرينلاند
Grenada,غرينادا
Guadeloupe,غوادلوب
Guam,غوام
Guatemala,غواتيمالا
Guernsey,غيرنسي
Guinea,غينيا
Guinea-Bissau,غينيا بيساو
Guyana,غيانا
Haiti,هايتي
Heard Island and McDonald Islands,جزر هيرد وجزر ماكدونالد
Holy See (Vatican City State),الكرسي الرسولي (مدينة الفاتيكان) الدولة)
Honduras,هندوراس
Hong Kong,هونغ كونغ
Hungary,المجر
Iceland,أيسلندا
India,الهند
Indonesia,إندونيسيا
Iran,إيران
Iraq,العراق
Ireland,أيرلندا
Isle of Man,جزيرة مان
Israel,إسرائيل
Italy,إيطاليا
Ivory Coast,ساحل العاج
Jamaica,جامايكا
Japan,اليابان
Jersey,جيرسي
Jordan,الأردن
Kazakhstan,كازاخستان
Kenya,كينيا
Kiribati,كيريباتي
"Korea, Democratic Peoples Republic of",جمهورية كوريا الديمقراطية الشعبية
"Korea, Republic of",جمهورية كوريا
Kuwait,الكويت
Kyrgyzstan,قيرغيزستان
Lao Peoples Democratic Republic,جمهورية لاو الديمقراطية الشعبية
Latvia,لاتفيا
Lebanon,لبنان
Lesotho,ليسوتو
Liberia,ليبيريا
Libya,ليبيا
Liechtenstein,ليختنشتاين
Lithuania,ليتوانيا
Luxembourg,لوكسمبورج
Macao,ماكاو
Macedonia,مقدونيا
Madagascar,مدغشقر
Malawi,ملاوي
Malaysia,ماليزيا
Maldives,جزر المالديف
Mali,مالي
Malta,مالطا
Marshall Islands,جزر مارشال
Martinique,مارتينيك
Mauritania,موريتانيا
Mauritius,موريشيوس
Mayotte,مايوت
Mexico,المكسيك
"Micronesia, Federated States of",ميكرونيزيا، ولايات
"Moldova, Republic of",مولدوفا الفيدرالية، جمهورية
Monaco,موناكو
Mongolia,منغوليا
Montenegro,الجبل الأسود
Montserrat,مونتسيرات
Morocco,المغرب
Mozambique,موزمبيق
Myanmar,ميانمار
Namibia,ناميبيا
Nauru,ناورو
Nepal,نيبال
Netherlands,هولندا
New Caledonia,كاليدونيا الجديدة
New Zealand,نيوزيلندا
Nicaragua,نيكاراغوا
Niger,النيجر
Nigeria,نيجيريا
Niue,نيوي
Norfolk Island,جزيرة نورفولك
Northern Mariana Islands,جزر ماريانا الشمالية
Norway,النرويج
Oman,عمان
Pakistan,باكستان
Palau,بالاو
"Palestinian Territory, Occupied",الأراضي الفلسطينية المحتلة
Panama,بنما
Papua New Guinea,بابوا غينيا الجديدة
Paraguay,باراغواي
Peru,بيرو
Philippines,الفلبين
Pitcairn,بيتكيرن
Poland,بولندا
Portugal,البرتغال
Puerto Rico,بورتوريكو
Qatar,قطر
Réunion,ريونيون
Romania,رومانيا
Russian Federation,الاتحاد الروسي
Rwanda,رواندا
Saint Barthélemy,سان بارتيليمي
"Saint Helena, Ascension and Tristan da Cunha",سانت هيلينا وأسينشين وتريستان دا كونها
Saint Kitts and Nevis,سانت كيتس ونيفيس
Saint Lucia,سانت لوسيا
Saint Martin (French part),سانت مارتن (الجزء الفرنسي)
Saint Pierre and Miquelon,سانت بيير وميكلون
Saint Vincent and the Grenadines,سانت فنسنت وجزر غرينادين
Samoa,ساموا
San Marino,سان مارينو
Sao Tome and Principe,ساو تومي وبرينسيبي
Saudi Arabia,المملكة العربية السعودية
Senegal,السنغال
Serbia,صربيا
Seychelles,سيشيل
Sierra Leone,سيراليون
Singapore,سنغافورة
Sint Maarten (Dutch part),سانت مارتن (الجزء الهولندي)
Slovakia,سلوفاكيا
Slovenia,سلوفينيا
Solomon Islands,جزر سليمان
Somalia,الصومال
South Africa,جنوب أفريقيا
South Georgia and the South Sandwich Islands,جورجيا الجنوبية وجزر ساندويتش الجنوبية
South Sudan,جنوب السودان
Spain,إسبانيا
Sri Lanka,سريلانكا
Sudan,السودان
Suriname,سورينام
Svalbard and Jan Mayen,سفالبارد ويان ماين
Swaziland,سوازيلاند
Sweden,السويد
Switzerland,سويسرا
Syria,سوريا
Taiwan,تايوان
Tajikistan,طاجيكستان
Tanzania,تنزانيا
Thailand,تايلاند
Timor-Leste,تيمور الشرقية
Togo,توغو
Tokelau,توكيلاو
Tonga,تونغا
Trinidad and Tobago,ترينيداد وتوباغو
Tunisia,تونس
Turkey,تركيا
Turkmenistan,تركمانستان
Turks and Caicos Islands,جزر توركس وكايكوس
Tuvalu,توفالو
Uganda,أوغندا
Ukraine,أوكرانيا
United Arab Emirates,الإمارات العربية المتحدة
United Kingdom,المملكة المتحدة
United States,الولايات المتحدة الأمريكية
United States Minor Outlying Islands,الولايات المتحدة الأمريكية الصغيرة النائية جزر
Uruguay,أوروغواي
Uzbekistan,أوزبكستان
Vanuatu,فانواتو
"Venezuela, Bolivarian Republic of",فنزويلا، جمهورية البوليفارية
Vietnam,فيتنام
"Virgin Islands, British",جزر فيرجن البريطانية
"Virgin Islands, U.S.",جزر فيرجن الأمريكية
Wallis and Futuna,واليس وفوتونا
Western Sahara,الصحراء الغربية
Yemen,اليمن
Zambia,زامبيا
Zimbabwe,زيمبابوي
